departamento,provincia,candidato,partido,votos
AMAZONAS,LUYA,VLADIMIR ROY CERRON ROJAS,PARTIDO POLÍTICO NACIONAL PERÚ LIBRE,190
AMAZONAS,LUYA,HERBERT CALLER GUTIERREZ,PARTIDO PATRIÓTICO DEL PERÚ,176
AMAZONAS,LUYA,LUIS FERNANDO OLIVERA VEGA,PARTIDO FRENTE DE LA ESPERANZA 2021,121
AMAZONAS,LUYA,ALEX GONZALES CASTILLO,PARTIDO DEMÓCRATA VERDE,112
AMAZONAS,LUYA,PITTER ENRIQUE VALDERRAMA PEÑA,PARTIDO APRISTA PERUANO,109
AMAZONAS,LUYA,MARIO ENRIQUE VIZCARRA CORNEJO,PARTIDO POLÍTICO PERÚ PRIMERO,108
AMAZONAS,LUYA,YONHY LESCANO ANCIETA,PARTIDO POLÍTICO COOPERACIÓN POPULAR,82
AMAZONAS,LUYA,CHARLIE CARRASCO SALAZAR,PARTIDO DEMÓCRATA UNIDO PERÚ,79
AMAZONAS,LUYA,MESIAS ANTONIO GUEVARA AMASIFUEN,PARTIDO MORADO,65
AMAZONAS,LUYA,FRANCISCO ERNESTO DIEZ-CANSECO TÁVARA,PARTIDO POLÍTICO PERÚ ACCIÓN,59
AMAZONAS,LUYA,ROSARIO DEL PILAR FERNANDEZ BAZAN,UN CAMINO DIFERENTE,51
AMAZONAS,LUYA,ALVARO GONZALO PAZ DE LA BARRA FREIGEIRO,FE EN EL PERÚ,44
AMAZONAS,LUYA,PAUL DAVIS JAIMES BLANCO,PROGRESEMOS,43
AMAZONAS,LUYA,ANTONIO ORTIZ VILLANO,SALVEMOS AL PERÚ,34
AMAZONAS,LUYA,FIORELLA GIANNINA MOLINELLI ARISTONDO,FUERZA Y LIBERTAD,32
AMAZONAS,LUYA,WOLFGANG MARIO GROZO COSTA,PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA,27
AMAZONAS,LUYA,RAFAEL JORGE BELAUNDE LLOSA,LIBERTAD POPULAR,27
AMAZONAS,LUYA,ROBERTO ENRIQUE CHIABRA LEON,UNIDAD NACIONAL,25
