departamento,provincia,candidato,partido,votos,avance_pct,votos_estimados,votos_restantes,total_region,pct_region_actual,pct_region_proyectado
AMAZONAS,CONDORCANQUI,,VOTOS EN BLANCO,3508,92.529,3791.2438262598753,283.2438262598753,215517.0175998866,1.6277136901145783,1.7591389619628208
AMAZONAS,CONDORCANQUI,,VOTOS NULOS,1273,92.529,1375.7848890618077,102.78488906180769,215517.0175998866,0.5906726133169494,0.638364851362221
AMAZONAS,CONDORCANQUI,JOSE LEON LUNA GALVEZ,PODEMOS PERÚ,682,92.529,737.0662170778892,55.06621707788918,215517.0175998866,0.31644832857985816,0.3419990798342771
AMAZONAS,CONDORCANQUI,KEIKO SOFIA FUJIMORI HIGUCHI,FUERZA POPULAR,600,92.529,648.4453522679377,48.445352267937665,215517.0175998866,0.27840028907318903,0.3008789558659329
AMAZONAS,CONDORCANQUI,RICARDO PABLO BELMONT CASSINELLI,PARTIDO CÍVICO OBRAS,389,92.529,420.4087367203796,31.40873672037958,215517.0175998866,0.18049618741578424,0.19506985638641317
AMAZONAS,CONDORCANQUI,GEORGE PATRICK FORSYTH SOMMER,PARTIDO DEMOCRÁTICO SOMOS PERÚ,364,92.529,393.39018037588215,29.390180375882153,215517.0175998866,0.16889617537106802,0.18253323322533263
AMAZONAS,CONDORCANQUI,CESAR ACUÑA PERALTA,ALIANZA PARA EL PROGRESO,237,92.529,256.1359141458354,19.135914145835386,215517.0175998866,0.10996811418390966,0.1188471875670435
AMAZONAS,CONDORCANQUI,MARIO ENRIQUE VIZCARRA CORNEJO,PARTIDO POLÍTICO PERÚ PRIMERO,209,92.529,225.87513103999828,16.87513103999828,215517.0175998866,0.09697610069382752,0.10480616962663329
AMAZONAS,CONDORCANQUI,PABLO ALFONSO LOPEZ CHAU NAVA,AHORA NACIÓN - AN,205,92.529,221.5521620248787,16.552162024878697,215517.0175998866,0.09512009876667292,0.1028003099208604
AMAZONAS,CONDORCANQUI,RONALD DARWIN ATENCIO SOTOMAYOR,ALIANZA ELECTORAL VENCEREMOS,165,92.529,178.32247187368284,13.322471873682844,215517.0175998866,0.07656007949512698,0.08274171286313155
AMAZONAS,CONDORCANQUI,RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,RENOVACIÓN POPULAR,146,92.529,157.78836905186483,11.788369051864834,215517.0175998866,0.06774407034114266,0.07321387926071035
AMAZONAS,CONDORCANQUI,HERBERT CALLER GUTIERREZ,PARTIDO PATRIÓTICO DEL PERÚ,136,92.529,146.98094651406586,10.980946514065863,215517.0175998866,0.06310406552325618,0.06819922999627813
AMAZONAS,CONDORCANQUI,ROBERTO ENRIQUE CHIABRA LEON,UNIDAD NACIONAL,104,92.529,112.39719439310919,8.397194393109189,215517.0175998866,0.04825605010601944,0.052152352350095035
AMAZONAS,CONDORCANQUI,VLADIMIR ROY CERRON ROJAS,PARTIDO POLÍTICO NACIONAL PERÚ LIBRE,85,92.529,91.86309157129116,6.863091571291164,215517.0175998866,0.03944004095203511,0.042624518747673826
AMAZONAS,CONDORCANQUI,CARLOS GONSALO ALVAREZ LOAYZA,PARTIDO PAÍS PARA TODOS,64,92.529,69.16750424191335,5.167504241913349,215517.0175998866,0.0296960308344735,0.032093755292366175
AMAZONAS,CONDORCANQUI,JOSE DANIEL WILLIAMS ZAPATA,AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,51,92.529,55.1178549427747,4.117854942774699,215517.0175998866,0.02366402457122107,0.025574711248604297
