departamento,provincia,candidato,partido,votos,actas_total,actas_procesadas,avance_pct,votos_validos_prov,votos_estimados,votos_restantes
AMAZONAS,CONDORCANQUI,PITTER ENRIQUE VALDERRAMA PEÑA,PARTIDO APRISTA PERUANO,20,174,150,86.207,13251,23.19997216003341,3.1999721600334112
AMAZONAS,CONDORCANQUI,ALVARO GONZALO PAZ DE LA BARRA FREIGEIRO,FE EN EL PERÚ,15,174,150,86.207,13251,17.39997912002506,2.3999791200250584
AMAZONAS,CONDORCANQUI,ROSARIO DEL PILAR FERNANDEZ BAZAN,UN CAMINO DIFERENTE,15,174,150,86.207,13251,17.39997912002506,2.3999791200250584
AMAZONAS,CONDORCANQUI,RAFAEL JORGE BELAUNDE LLOSA,LIBERTAD POPULAR,14,174,150,86.207,13251,16.239980512023386,2.2399805120233864
AMAZONAS,CONDORCANQUI,WOLFGANG MARIO GROZO COSTA,PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA,12,174,150,86.207,13251,13.919983296020046,1.919983296020046
AMAZONAS,CONDORCANQUI,FRANCISCO ERNESTO DIEZ-CANSECO TÁVARA,PARTIDO POLÍTICO PERÚ ACCIÓN,10,174,150,86.207,13251,11.599986080016706,1.5999860800167056
AMAZONAS,CONDORCANQUI,WALTER GILMER CHIRINOS PURIZAGA,PARTIDO POLÍTICO PRIN,10,174,150,86.207,13251,11.599986080016706,1.5999860800167056
AMAZONAS,CONDORCANQUI,FIORELLA GIANNINA MOLINELLI ARISTONDO,FUERZA Y LIBERTAD,9,174,150,86.207,13251,10.439987472015035,1.4399874720150354
AMAZONAS,CONDORCANQUI,NAPOLEON BECERRA GARCIA,PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ,6,174,150,86.207,13251,6.959991648010023,0.959991648010023
AMAZONAS,CONDORCANQUI,CARLOS ERNESTO JAICO CARRANZA,PERÚ MODERNO,0,174,150,86.207,13251,0.0,0.0
AMAZONAS,LUYA,ROBERTO HELBERT SANCHEZ PALOMINO,JUNTOS POR EL PERÚ,5232,159,153,96.226,17731,5437.199925176148,205.1999251761481
AMAZONAS,LUYA,,VOTOS EN BLANCO,4755,159,153,96.226,17731,4941.491904474882,186.49190447488218
AMAZONAS,LUYA,KEIKO SOFIA FUJIMORI HIGUCHI,FUERZA POPULAR,3983,159,153,96.226,17731,4139.213933864028,156.21393386402815
AMAZONAS,LUYA,RICARDO PABLO BELMONT CASSINELLI,PARTIDO CÍVICO OBRAS,2186,159,153,96.226,17731,2271.735289838505,85.7352898385052
AMAZONAS,LUYA,,VOTOS NULOS,1964,159,153,96.226,17731,2041.0284122794255,77.02841227942554
AMAZONAS,LUYA,PABLO ALFONSO LOPEZ CHAU NAVA,AHORA NACIÓN - AN,1340,159,153,96.226,17731,1392.5550267079584,52.555026707958405
AMAZONAS,LUYA,GEORGE PATRICK FORSYTH SOMMER,PARTIDO DEMOCRÁTICO SOMOS PERÚ,612,159,153,96.226,17731,636.0027435412467,24.002743541246673
